,Model,AlloProfClusteringS2S.v2,ArXivHierarchicalClusteringP2P,ArXivHierarchicalClusteringS2S,BigPatentClustering.v2,BiorxivClusteringP2P.v2,CLSClusteringP2P.v2,HALClusteringS2S.v2,MasakhaNEWSClusteringS2S,MedrxivClusteringP2P.v2,PlscClusteringP2P.v2,SIB200ClusteringS2S,StackExchangeClustering.v2,SwednClusteringP2P,WikiCitiesClustering,WikiClusteringP2P.v2
0,SFR-Embedding-2_R,55.84624917823335,65.3697253315525,63.996034339742366,44.53164717722028,54.22313821757675,45.91065703717877,30.0900629861384,49.68389827054355,49.59041157163384,74.7676187734729,33.192430537680266,74.99008423226651,54.68268106137037,91.10235415072879,31.012654375781075
1,gemini-embedding-exp-03-07,56.3589,64.9199,63.843,38.061299999999996,53.8637,42.6782,32.0018,57.44815625,47.1595,74.3128,41.742670558375636,92.0656,45.836200000000005,91.6292,28.229192857142856
2,SFR-Embedding-Mistral,57.8715,65.5027,62.554500000000004,30.536099999999998,47.1772,43.4734,30.115599999999997,53.42579375,43.1892,73.9569,38.354868527918796,71.90220000000001,48.95615,90.9769,30.91065
3,gte-Qwen2-1.5B-instruct,49.709900000000005,64.7434,63.217999999999996,43.8761,45.8146,45.6336,29.852099999999997,71.7056263158008,43.0505,72.4581,32.69826802030457,69.32549999999999,48.651250000000005,81.3248,30.012999999999995
4,gte-Qwen1.5-7B-instruct,55.30199999999999,67.25999999999999,63.9121,28.2013,55.757,46.3449,29.9673,46.592943749999996,49.515,72.294,32.28490812182743,80.5959,48.32445,90.7419,30.009392857142853
5,GritLM-8x7B,59.27976109387059,59.86256139428866,57.21927960247923,37.86152284690122,44.6450727199578,42.11841225675311,30.87696601982258,53.75969255403582,40.2830754049983,72.96674316108866,40.4380953631484,69.22281339916671,40.40531899431452,84.94429480083369,29.48246378693038
6,multilingual-e5-large-instruct,56.465654820251686,62.534993503603,61.28405793014598,43.18759632840442,42.74642223360121,42.40111865680486,30.071654993285048,59.233227515991594,38.09242836891137,72.73714261252685,47.19148058157195,59.96877429544219,47.55962245436645,76.22072269296974,31.450801211002773
7,e5-mistral-7b-instruct,57.1119995801465,65.2837349991313,61.2781226957918,29.14035497773531,42.43994588820838,43.57979865632357,29.059912219114242,54.55790207829308,39.04746182823812,74.56474020582282,38.743556291910544,64.32871212725469,50.55558993934491,89.03355245373612,31.041842947604565
8,gte-Qwen2-7B-instruct,57.506448147453916,68.1929207141039,64.84694347666395,28.794499218673657,53.24389713638713,48.41927222751096,31.455219894528103,49.90869661817549,49.03002986636611,73.34101190608784,37.73466578510028,80.26367734971261,51.2087241288512,77.58436521981416,30.77499816043735
9,Linq-Embed-Mistral,56.391400000000004,63.3776,62.165000000000006,24.8052,45.8864,43.3447,29.022199999999998,51.43464375,40.9949,72.79719999999999,38.39898781725887,72.16590000000001,47.21005,89.9577,30.913050000000002
10,stella_en_1.5B_v5,48.98297698660915,64.52339106857525,61.313064241189075,34.9452936536449,52.384364299338145,41.12691474107405,27.348270525053564,41.67922945316068,47.2296865252186,71.11740626683348,24.609344532153425,76.04248089768724,45.420931224587314,88.28792124799975,28.098000498210894
11,jasper_en_vision_language_v1,54.3335,68.68769999999999,64.7347,36.439,55.0404,43.9201,29.7597,47.953612500000006,49.7693,72.1735,,80.049,45.5752,85.8664,29.981707142857143
12,GritLM-7B,56.41182129244591,59.76004587290107,62.283243447585626,31.01061795309582,41.89593045442553,42.7530529865959,29.760842530198428,54.2806919405131,36.47114245372426,72.52547747581623,36.07251977065838,68.13461467763409,51.4866057426058,83.66189968292855,29.879395630695697
13,Cohere-embed-multilingual-v3.0,44.4215,59.622699999999995,57.46639999999999,41.1753,42.8922,40.3376,28.687,44.4601375,39.010099999999994,72.0522,30.028630964467002,59.0993,40.65875,82.4805,27.932799999999997
14,text-embedding-3-large,56.62427627371602,59.51058902834719,59.927505938208256,32.82742581791263,40.646713367063256,39.19650269689925,28.33047052874952,45.62127132711609,36.05684448601972,71.05706347976925,29.578769007381673,62.507521253765596,34.5736001996092,85.32907659925846,27.72000134573108
15,stella_en_400M_v5,42.171193342654256,63.92483709906334,60.81704622679586,34.60718800921471,54.1196547218052,26.47037819493522,24.334929515258086,38.714495624281376,49.585183072117765,67.97400052868933,13.203103747896314,77.57900851574055,32.05965281811596,88.84868793238738,26.539169959026726
16,text-embedding-3-small,52.13000030232619,57.88295087642524,57.10651257728321,35.39869889979264,40.25718174108642,38.79678702859093,27.265050122581787,43.76260271263766,36.448130580518864,71.12288765757434,22.701765996486888,59.07183636054019,36.628739070347216,89.82232121571151,27.465584202547777
17,jina-embeddings-v3,44.67655078318857,58.92914985808295,55.94901652486779,37.13039996033536,39.96970771304996,39.40192795763958,29.26211186445843,46.15721454084101,38.16461321424296,71.53158862268262,32.03424515762366,56.719269402504146,26.784391620272473,85.32015240783812,27.778759617858544
18,bilingual-embedding-large,52.845,57.353,57.640899999999995,32.571,39.4234,39.644200000000005,28.089399999999998,55.090949643200084,37.0089,70.36630000000001,35.06109644670051,57.6207,36.768499999999996,74.6969,28.25854285714286
19,text-multilingual-embedding-002,46.760000000000005,56.284,53.6635,34.3731,37.710100000000004,38.0248,26.8754,49.11214999999999,36.5672,70.9733,36.37303857868021,91.3658,37.64875,80.7368,27.904535714285718
20,mmlw-e5-large,39.9959,59.872400000000006,57.64320000000001,29.785800000000002,43.2663,21.9221,25.9577,41.02114375,38.5244,69.305,12.751430964466998,59.4283,39.291149999999995,84.6638,25.93238571428571
21,Cohere-embed-multilingual-light-v3.0,40.0149,57.1049,53.371100000000006,37.7866,41.692099999999996,39.5903,25.364399999999996,42.4312625,37.845800000000004,71.5271,28.801279187817247,55.9929,39.638600000000004,78.729,27.023014285714286
22,mxbai-embed-large-v1,37.89706960033518,60.10625739174296,58.993897366368074,34.75497129400884,41.87022064365139,17.8740503710102,26.31659943607061,42.099343873855915,37.269967546926125,70.60814075768891,12.250535406281813,55.0802570899201,32.976064615039526,88.05530575095165,26.178465063998424
23,GIST-large-Embedding-v0,38.575900000000004,59.798300000000005,58.965500000000006,30.568,42.3635,19.9926,25.373,40.0367,37.9457,69.5568,12.336862436548223,60.403600000000004,32.3764,86.81309999999999,26.18872857142857
24,Cohere-embed-english-v3.0,35.973699999999994,62.407599999999995,57.965900000000005,36.9059,43.7402,18.581400000000002,24.9005,40.096887499999994,39.9723,68.3727,12.03053248730965,60.5585,30.29035,81.597,25.803614285714282
25,GIST-Embedding-v0,35.9073,59.5916,58.7499,32.2645,42.258,21.682299999999998,25.591,40.874387500000005,37.5789,70.3912,10.652472588832486,61.1531,28.5746,87.5305,25.64194285714286
26,voyage-3-lite,46.0873,56.8291,55.171099999999996,33.7128,40.031499999999994,37.8802,24.757,42.9780375,36.3005,70.77,29.45327005076144,56.2448,36.95465,82.85040000000001,27.813935714285716
27,gte-multilingual-base,44.22861762265864,57.99437291346836,57.94172192774746,32.65900201870701,39.66085270512206,36.930527026523094,25.878428718499393,45.70058771632868,36.920965436200994,70.897309624081,25.65456761254805,51.91497256515773,29.74442245689869,83.54162940235061,26.98931558793463
