"",Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters,Embedding Dimensions,Max Tokens,Clustering,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Instruction Retrieval,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
0,1,[gemini-embedding-exp-03-07](https://developers.googleblog.com/en/gemini-embedding-text-model-now-available-gemini-api/),99%,Unknown,Unknown,3072,8192,54.59,68.37,59.59,79.28,71.82,5.18,29.16,83.63,65.58,67.71,79.4
1,14,[SFR-Embedding-2_R](https://huggingface.co/Salesforce/SFR-Embedding-2_R),96%,13563,7B,4096,32768,53.65,59.8,52.83,68.84,59.01,-1.8,25.19,78.58,63.04,57.93,71.04
2,3,[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct),⚠️ NA,29040,7B,3584,32768,52.77,62.51,55.93,73.92,61.55,4.94,25.48,85.13,65.55,60.08,73.98
3,36,[gte-Qwen1.5-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct),⚠️ NA,29449,7B,4096,32768,52.26,,,60.8,,5.36,23.45,,,,
4,11,[gte-Qwen2-1.5B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct),⚠️ NA,6776,1B,8960,32768,52.05,59.45,52.69,62.51,58.32,0.74,24.02,81.58,62.58,60.78,71.61
5,5,[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral),96%,13563,7B,4096,32768,51.84,60.9,53.92,70.0,60.02,0.16,24.55,80.29,64.19,59.44,74.79
6,4,[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct),99%,1068,560M,1024,514,50.75,63.22,55.08,80.13,64.94,-0.4,22.91,80.86,62.61,57.12,76.81
7,2,[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral),99%,13563,7B,4096,32768,50.6,61.47,54.14,70.34,62.24,0.94,24.77,80.43,64.37,58.69,74.86
8,9,[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct),99%,13563,7B,4096,32768,50.57,60.25,53.08,70.58,60.31,-0.62,22.2,81.12,63.82,55.75,74.02
9,8,[GritLM-8x7B](https://huggingface.co/GritLM/GritLM-8x7B),99%,89079,57B,4096,4096,50.16,60.49,53.31,68.17,61.55,2.44,24.43,79.73,62.61,57.54,73.16
10,6,[GritLM-7B](https://huggingface.co/GritLM/GritLM-7B),99%,13813,7B,4096,4096,49.75,60.92,53.74,70.53,61.83,3.45,22.77,79.94,63.78,58.31,73.33
11,15,[stella_en_1.5B_v5](https://huggingface.co/NovaSearch/stella_en_1.5B_v5),92%,5887,1B,8960,131072,49.71,56.53,49.96,58.56,56.69,0.21,21.84,78.47,61.37,52.84,69.91
12,7,[text-multilingual-embedding-002](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),99%,Unknown,Unknown,768,2048,47.84,62.16,54.25,70.73,64.64,4.08,22.8,81.14,61.22,59.68,76.11
13,10,[Cohere-embed-multilingual-v3.0](https://huggingface.co/Cohere/Cohere-embed-multilingual-v3.0),⚠️ NA,Unknown,Unknown,1024,Unknown,46.89,61.12,53.23,70.5,62.95,-1.89,22.74,79.88,64.07,59.16,74.8
14,13,[text-embedding-3-large](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,Unknown,Unknown,3072,8191,46.89,58.93,51.41,62.17,60.27,-2.68,22.03,79.17,63.89,59.27,71.68
15,12,[bilingual-embedding-large](https://huggingface.co/Lajavaness/bilingual-embedding-large),98%,2136,559M,1024,514,46.49,60.96,52.92,73.55,62.77,-3.04,22.36,79.83,61.42,55.1,77.81
16,42,[stella_en_400M_v5](https://huggingface.co/NovaSearch/stella_en_400M_v5),92%,1660,435M,4096,8192,46.2,48.32,42.11,39.24,49.2,-0.7,18.22,74.51,46.49,42.58,63.23
17,29,[text-embedding-3-small](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,Unknown,Unknown,1536,8191,46.09,54.26,47.44,50.32,55.16,-2.38,19.92,76.64,59.54,52.24,69.42
18,25,[KaLM-embedding-multilingual-mini-instruct-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1),93%,1885,494M,896,512,45.89,56.35,49.28,64.22,57.38,-2.6,21.62,77.47,58.17,50.84,70.54
19,21,[jina-embeddings-v3](https://huggingface.co/jinaai/jina-embeddings-v3),99%,1092,572M,1024,8194,45.65,58.37,50.66,65.25,58.77,-1.34,18.38,79.27,57.09,55.76,77.13
20,19,[KaLM-embedding-multilingual-mini-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-v1),93%,1885,494M,896,512,45.61,57.05,50.05,64.77,57.57,-1.5,20.67,77.7,60.59,54.17,70.84
21,33,[voyage-3-lite](https://blog.voyageai.com/2024/09/18/voyage-3/),100%,Unknown,Unknown,512,32000,44.82,,,60.12,57.93,-1.17,,75.07,60.29,58.6,68.2
22,27,[Cohere-embed-multilingual-light-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,Unknown,Unknown,384,512,44.79,57.58,50.28,65.03,58.51,-2.45,20.09,77.0,61.98,55.79,71.8
23,24,[bilingual-embedding-base](https://huggingface.co/Lajavaness/bilingual-embedding-base),98%,1061,278M,768,514,44.68,58.23,50.61,69.98,59.36,-3.84,20.68,77.44,59.41,52.96,74.84
24,22,[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base),99%,582,305M,768,8192,44.33,58.24,51.44,71.79,57.17,-0.74,19.82,80.49,60.72,56.5,72.85
25,18,[Solon-embeddings-large-0.1](https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1),⚠️ NA,2136,559M,1024,514,43.86,59.63,52.01,76.1,60.84,-3.48,21.4,78.72,62.02,55.69,72.98
26,30,[bilingual-embedding-small](https://huggingface.co/Lajavaness/bilingual-embedding-small),98%,449,117M,384,512,43.78,57.01,49.69,69.48,58.06,-3.36,19.17,77.07,59.31,49.55,74.14
27,53,[mmlw-e5-large](https://huggingface.co/sdadas/mmlw-e5-large),99%,2136,559M,1024,514,42.92,45.4,37.95,26.86,52.05,-3.39,17.08,73.41,39.82,33.33,59.49
28,26,[NV-Embed-v1](https://huggingface.co/nvidia/NV-Embed-v1),92%,29945,7B,4096,32768,42.86,54.88,48.33,48.9,57.04,3.02,18.95,76.19,64.29,53.98,69.77
29,31,[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0),99%,2166,568M,1024,8192,42.76,57.03,49.95,64.08,57.39,-2.47,18.94,76.71,63.67,58.36,70.11
30,51,[mxbai-embed-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1),100%,639,335M,1024,512,42.49,45.91,39.45,25.74,49.74,-1.95,18.1,72.56,47.6,40.3,60.46
31,52,[GIST-large-Embedding-v0](https://huggingface.co/avsolatorio/GIST-large-Embedding-v0),96%,1278,335M,1024,512,42.39,45.75,39.51,25.64,48.18,-1.81,17.54,72.28,47.08,40.41,63.92
32,39,[Cohere-embed-english-v3.0](https://huggingface.co/Cohere/Cohere-embed-english-v3.0),⚠️ NA,Unknown,Unknown,1024,Unknown,42.32,48.13,41.77,31.39,50.31,-0.17,17.19,74.07,50.68,45.41,64.72
33,64,[GIST-Embedding-v0](https://huggingface.co/avsolatorio/GIST-Embedding-v0),96%,418,109M,768,512,42.26,45.0,38.56,24.38,47.88,-3.35,16.71,71.7,45.64,38.45,63.41
34,38,[snowflake-arctic-embed-m-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0),99%,1165,305M,768,8192,42.24,53.7,46.89,53.73,54.38,-3.34,17.04,74.86,61.67,54.83,66.6
35,71,[mmlw-e5-base](https://huggingface.co/sdadas/mmlw-e5-base),99%,1061,278M,768,514,42.16,44.15,36.37,23.55,52.28,-3.32,16.01,72.39,36.07,30.79,57.37
36,48,[UAE-Large-V1](https://huggingface.co/WhereIsAI/UAE-Large-V1),100%,1278,335M,1024,512,41.87,46.09,39.61,26.84,49.66,-2.14,17.17,72.82,48.35,41.21,60.75
37,32,[multilingual-e5-base](https://huggingface.co/intfloat/multilingual-e5-base),99%,1061,278M,768,514,41.82,57.02,49.83,69.44,58.21,-2.65,20.16,77.15,60.18,52.72,71.44
38,103,[embedder-100p](https://huggingface.co/deepfile/embedder-100p),⚠️ NA,1061,Unknown,768,514,41.72,,,26.73,,-2.76,15.5,,38.13,,
39,46,[speed-embedding-7b-instruct](https://huggingface.co/Haon-Chen/speed-embedding-7b-instruct),⚠️ NA,13563,7B,Unknown,32768,41.71,,,19.54,57.32,-0.09,,74.82,48.85,,65.49
40,23,[multilingual-e5-large](https://huggingface.co/intfloat/multilingual-e5-large),99%,2136,560M,1024,514,41.7,58.55,51.34,73.81,59.43,-3.05,21.13,78.87,62.78,54.08,73.31
41,68,[stella-base-en-v2](https://huggingface.co/infgrad/stella-base-en-v2),⚠️ NA,Unknown,Unknown,Unknown,512,41.51,44.67,38.0,25.09,48.64,-3.27,15.82,71.74,43.86,35.28,63.31
